ay_g,ax_g,roll_deg,pitch_deg,ground_z_in,worst_order,worst_point,worst_min_z_in,worst_clearance_in,worst_clearance_mm,touches_ground,roll_then_pitch_clearance_in,pitch_then_roll_clearance_in
-0.25,-0.2999999999999998,-0.1284444243246661,-0.21409299874668014,-3.143600000000001,pitch_then_roll,floor_2,-1.4881945205060263,1.6554054794939748,42.047299179146954,False,1.6554060185565733,1.6554054794939748
-0.25,-0.25,-0.1284444243246661,-0.17841083228890023,-3.143600000000001,pitch_then_roll,floor_2,-1.471610396091243,1.671989603908758,42.468535939282454,False,1.6719899434983283,1.671989603908758
-0.25,-0.19999999999999996,-0.1284444243246661,-0.14272866583112015,-3.143600000000001,pitch_then_roll,floor_2,-1.4550234293437998,1.6885765706562013,42.88984489466751,False,1.6885767546243837,1.6885765706562013
-0.25,-0.1499999999999999,-0.1284444243246661,-0.10704649937334007,-3.143600000000001,pitch_then_roll,floor_2,-1.4384336266968547,1.7051663733031464,43.311225881899915,False,1.7051664455016438,1.7051663733031464
-0.25,-0.09999999999999987,-0.1284444243246661,-0.07136433291555999,-3.143600000000001,pitch_then_roll,floor_2,-1.4218409945846635,1.7217590054153376,43.73267873754957,False,1.7217590096958943,1.7217590054153376
-0.25,-0.04999999999999982,-0.1284444243246661,-0.03568216645777992,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.4221962347696127,1.7214037652303884,43.723655636851866,False,1.721403813890329,1.7214037652303884
-0.25,0.0,-0.1284444243246661,0.0,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.4296708760530108,1.7139291239469903,43.53379974825355,False,1.7139291239469907,1.7139291239469903
-0.25,0.050000000000000266,-0.1284444243246661,0.03568216645778024,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.4371427071805072,1.7064572928194939,43.34401523761514,False,1.7064573039220905,1.7064572928194939
-0.25,0.10000000000000009,-0.1284444243246661,0.07136433291556016,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.444611725254195,1.698988274745806,43.154302178543475,False,1.6989883567135298,1.698988274745806
-0.25,0.1499999999999999,-0.1284444243246661,0.10704649937334007,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.4520779273772644,1.6915220726227367,42.96466064461751,False,1.6915222852180953,1.6915220726227367
-0.25,0.20000000000000018,-0.1284444243246661,0.14272866583112032,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.459541310653989,1.684058689346012,42.77509070938871,False,1.6840590923314576,1.684058689346012
-0.25,0.25,-0.1284444243246661,0.17841083228890023,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.467001872189741,1.67659812781026,42.5855924463806,False,1.6765987809481722,1.67659812781026
-0.25,0.30000000000000027,-0.1284444243246661,0.21409299874668047,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.4744596090909847,1.6691403909090163,42.396165929089015,False,1.6691413539616766,1.6691403909090163
-0.25,0.3500000000000001,-0.1284444243246661,0.2497751652044604,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.4819145184652833,1.6616854815347177,42.20681123098183,False,1.661686814264292,1.6616854815347177
-0.25,0.40000000000000036,-0.1284444243246661,0.28545733166224063,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.4893665974212937,1.6542334025787073,42.017528425499165,False,1.654235164747213,1.6542334025787073
-0.25,0.4500000000000002,-0.1284444243246661,0.3211394981200205,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.4968158430687706,1.6467841569312305,41.82831758605325,False,1.646786408300521,1.6467841569312305
-0.25,0.5,-0.1284444243246661,0.35682166457780046,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.504262252518569,1.6393377474814321,41.639178786028374,False,1.6393405478131706,1.6393377474814321
-0.25,0.5500000000000003,-0.1284444243246661,0.3925038310355807,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.5117058228826443,1.6318941771173567,41.450112098780856,False,1.631897586172994,1.6318941771173567
-0.25,0.6000000000000001,-0.1284444243246661,0.4281859974933606,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.5191465512740492,1.6244534487259519,41.26111759763918,False,1.624457526266701,1.6244534487259519
-0.25,0.6500000000000004,-0.1284444243246661,0.46386816395114083,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.5265844348069426,1.6170155651930584,41.07219535590368,False,1.6170203709798745,1.6170155651930584
