Fz,slipRatio,slipAngle_deg,Fx,Fy,ax_g,ay_g
200,-0.245,-2.7999999999999994,-3.5207592100666947,13.749620505412881,-0.0011618630886052294,0.004537423775500451
200,-0.245,-2.5999999999999996,-3.5517552860611854,13.829104959220698,-0.0011720919041648481,0.004563653928568914
200,-0.245,-2.3999999999999986,-3.5831700001776605,13.908592881591327,-0.0011824588717969024,0.004589885226275467
200,-0.245,-2.1999999999999997,-3.6149856027852216,13.98808400448381,-0.0011929581340599292,0.004616117580165641
200,-0.245,-2.0,-3.647181544532949,14.06757806004912,-0.0012035829095948798,0.004642350901848301
200,-0.245,-1.799999999999999,-3.6797342837954625,14.147074780633739,-0.0012143254295814677,0.004668585102996832
200,-0.245,-1.5999999999999996,-3.712617094937647,14.226573898783203,-0.0012251768744648446,0.004694820095350307
200,-0.245,-1.3999999999999986,-3.745799879979648,14.306075147245705,-0.0012361273118043788,0.004721055790714679
200,-0.245,-1.1999999999999993,-3.77924898663717,14.38557825897562,-0.0012471656362263031,0.004747292100963938
200,-0.245,-1.0,-3.8129270361133414,14.465082967137088,-0.0012582795125944183,0.004773528938041299
200,-0.245,-0.7999999999999989,-3.8467927644161217,14.544589005107543,-0.001269455323644271,0.004799766213960366
200,-0.245,-0.5999999999999996,-3.880800881356195,14.62409610648127,-0.0012806781234519558,0.0048260038408063045
200,-0.245,-0.3999999999999986,-3.914901951728711,14.703604005072933,-0.001291931598223667,0.004852241730737002
200,-0.245,-0.1999999999999993,-3.9490423034798408,14.78311243492112,-0.0013031980359903344,0.004878479795984247
200,-0.245,0.0,-3.983163967885998,14.862621130291858,-0.0013144583068665518,0.0049047179488548795
200,-0.245,0.20000000000000107,-4.017204656907696,14.942129825682136,-0.001325691855577272,0.00493095610173196
200,-0.245,0.40000000000000036,-4.051097782899367,15.021638255823419,-0.001336876707962114,0.004957194167075928
200,-0.245,0.6000000000000014,-4.084772525738759,15.101146155685164,-0.001347989493128306,0.004983432057425757
200,-0.245,0.8000000000000007,-4.118153952164491,15.180653260478305,-0.0013590054828325022,0.005009669685400113
200,-0.245,1.0,-4.151163191660819,15.260159305658766,-0.001369898649523384,0.005035906963698508
200,-0.245,1.200000000000001,-4.183717672592005,15.339664026930937,-0.0013806417442668417,0.005062143805102448
200,-0.245,1.4000000000000004,-4.215731421459167,15.419167160251156,-0.001391206395501803,0.005088380122476585
200,-0.245,1.6000000000000014,-4.247115427132136,15.498668441831189,-0.001401563229238044,0.0051146158287698595
200,-0.245,1.8000000000000005,-4.277778070709113,15.578167608141698,-0.0014116820109114072,0.005140850837016651
200,-0.245,2.0,-4.307625620299902,15.65766439591569,-0.0014215318086640333,0.005167085060337915
200,-0.245,2.200000000000001,-4.33656278854637,15.737158542151994,-0.0014310811773280987,0.0051933184119423255
200,-0.245,2.4000000000000004,-4.364493349129301,15.81664978411867,-0.001440298361875276,0.005219550805127408
200,-0.245,2.6000000000000014,-4.391320806915169,15.896137859356491,-0.001449151518567558,0.00524578215328068
200,-0.245,2.8000000000000007,-4.416949114827443,15.975622505682342,-0.001457608951527342,0.00527201236988078
200,-0.245,3.0000000000000004,-4.4412834290460514,16.055103461192655,-0.0014656393619559456,0.0052982413684985975
200,-0.245,3.200000000000001,-4.464230892806625,16.134580464266826,-0.0014732121067901518,0.0053244690627984
200,-0.245,3.4000000000000004,-4.485701437944847,16.214053253570615,-0.0014802974632146999,0.005350695366538957
200,-0.245,3.600000000000001,-4.50560859245902,16.29352156805956,-0.0014868668951608115,0.005376920193574666
200,-0.245,3.8000000000000007,-4.52387028178255,16.37298514698235,-0.0014928933177289663,0.005403143457856665
200,-0.245,4.0,-4.540409611189661,16.452443729884237,-0.0014983513553855777,0.005429365073433957
200,-0.245,4.199999999999999,-4.555155616808614,16.53189705661037,-0.0015032175898000303,0.005455584954454516
200,-0.245,4.400000000000002,-4.568043973077815,16.6113448673092,-0.0015074707933077176,0.005481803015166403
200,-0.245,4.600000000000001,-4.57901764512813,16.690786902435818,-0.0015110921441985326,0.005508019169918874
200,-0.245,4.800000000000001,-4.588027475474918,16.770222902755314,-0.0015140654203273283,0.005534233333163486
200,-0.245,5.0,-4.59503269551415,16.849652609346116,-0.0015163771679094602,0.005560445419455194
200,-0.245,5.199999999999999,-4.600001353594177,16.929075763603322,-0.0015180168427859975,0.005586655343453461
200,-0.245,5.400000000000002,-4.602910652835263,17.008492107242013,-0.0015189769219053704,0.005612863019923343
200,-0.245,5.600000000000001,-4.603747193354936,17.087901382300586,-0.001519252983258601,0.005639068363736591
200,-0.245,5.800000000000001,-4.602507115097848,17.167303331144055,-0.0015188437530136662,0.005665271289872741
200,-0.245,6.000000000000001,-4.599196139041061,17.24669769646733,-0.001517751119113388,0.005691471713420196
200,-0.245,6.199999999999999,-4.593829506133476,17.32608422129853,-0.0015159801111252274,0.00571766954957732
200,-0.245,6.400000000000002,-4.5864318149199805,17.405462649002235,-0.0015135388466566764,0.00574386471365351
200,-0.245,6.600000000000001,-4.577036760386685,17.48483272328278,-0.0015104384451732524,0.005770057121070283
200,-0.245,6.800000000000001,-4.565686778131131,17.564194188187482,-0.0015066929105734005,0.00579624668736234
200,-0.245,7.0,-4.552432599493397,17.643546788109923,-0.0015023189843801714,0.005822433328178653
