Fz,sr,sa_deg,Fx,Fy
200,-0.235,-8.8,-2.761100313337771,11.719394045591558
200,-0.235,-8.6,-2.7788367356607546,11.801098574046183
200,-0.235,-8.4,-2.7969408302565553,11.882815041573377
200,-0.235,-8.2,-2.8154211200545083,11.964543167646763
200,-0.235,-8.0,-2.834286213570843,12.046282671825423
200,-0.235,-7.8,-2.853544788594009,12.128033273757705
200,-0.235,-7.6,-2.873205573400614,12.209794693184994
200,-0.235,-7.3999999999999995,-2.893277325243937,12.291566649945496
200,-0.235,-7.199999999999999,-2.913768805835808,12.373348863978016
200,-0.235,-7.0,-2.9346887535206037,12.455141055325738
200,-0.235,-6.8,-2.9560458518173243,12.536942944139996
200,-0.235,-6.6,-2.977848693982474,12.618754250684056
200,-0.235,-6.3999999999999995,-3.0001057432228486,12.700574695336874
200,-0.235,-6.199999999999999,-3.0228252881639817,12.78240399859688
200,-0.235,-6.0,-3.0460153931570906,12.86424188108573
200,-0.235,-5.8,-3.0696838429855924,12.946088063552084
200,-0.235,-5.6,-3.09383808151233,13.02794226687536
200,-0.235,-5.3999999999999995,-3.118485143791273,13.109804212069486
200,-0.235,-5.199999999999999,-3.14363158115375,13.191673620286672
200,-0.235,-5.0,-3.169283378770288,13.273550212821142
200,-0.235,-4.8,-3.1954458651863806,13.355433711112903
200,-0.235,-4.6,-3.222123613335422,13.43732383675148
200,-0.235,-4.3999999999999995,-3.24932033254665,13.519220311479657
200,-0.235,-4.199999999999999,-3.277038751092095,13.601122857197225
200,-0.235,-4.0,-3.3052804888568463,13.683031195964706
200,-0.235,-3.799999999999999,-3.3340459197737196,13.764945050007093
200,-0.235,-3.5999999999999996,-3.3633340237397618,13.846864141717571
200,-0.235,-3.4000000000000004,-3.3931422278307903,13.92878819366125
200,-0.235,-3.1999999999999993,-3.4234662367546593,14.010716928578871
