current,temperature,rpm,torque,efficiency
900,20,5200,60,92.84
900,20,5200,70,93.69
900,20,5200,80,94.25
900,20,5200,90,94.53
900,20,5200,100,94.52
900,20,5200,110,94.23
900,20,5200,120,93.65
900,20,5200,130,92.79
900,20,5200,140,91.65
900,20,5200,150,90.21
900,20,5200,160,88.5
900,20,5200,170,86.48
900,20,5200,180,84.14
900,20,5300,0,82.18
900,20,5300,10,84.7
900,20,5300,20,86.93
900,20,5300,30,88.86
900,20,5300,40,90.5
900,20,5300,50,91.85
900,20,5300,60,92.91
900,20,5300,70,93.69
900,20,5300,80,94.19
900,20,5300,90,94.4
900,20,5300,100,94.33
900,20,5300,110,93.97
900,20,5300,120,93.33
900,20,5300,130,92.4
900,20,5300,140,91.18
900,20,5300,150,89.69
900,20,5300,160,87.9
900,20,5300,170,85.8
900,20,5300,180,83.37
900,20,5400,0,82.66
900,20,5400,10,85.11
900,20,5400,20,87.27
900,20,5400,30,89.13
900,20,5400,40,90.7
900,20,5400,50,91.97
900,20,5400,60,92.97
900,20,5400,70,93.68
900,20,5400,80,94.11
900,20,5400,90,94.25
900,20,5400,100,94.1
900,20,5400,110,93.67
900,20,5400,120,92.96
900,20,5400,130,91.96
900,20,5400,140,90.67
900,20,5400,150,89.11
900,20,5400,160,87.24
900,20,5400,170,85.05
900,20,5400,180,82.53
900,20,5500,0,83.15
900,20,5500,10,85.53
900,20,5500,20,87.61
900,20,5500,30,89.39
900,20,5500,40,90.88
900,20,5500,50,92.09
900,20,5500,60,93.01
900,20,5500,70,93.64
900,20,5500,80,93.99
900,20,5500,90,94.06
900,20,5500,100,93.84
900,20,5500,110,93.34
900,20,5500,120,92.55
900,20,5500,130,91.47
900,20,5500,140,90.11
900,20,5500,150,88.47
900,20,5500,160,86.51
900,20,5500,170,84.22
900,20,5500,180,81.61
900,20,5600,0,83.64
900,20,5600,10,85.94
900,20,5600,20,87.95
900,20,5600,30,89.65
900,20,5600,40,91.06
900,20,5600,50,92.19
900,20,5600,60,93.03
900,20,5600,70,93.58
900,20,5600,80,93.85
900,20,5600,90,93.84
900,20,5600,100,93.54
900,20,5600,110,92.96
900,20,5600,120,92.09
900,20,5600,130,90.94
900,20,5600,140,89.5
900,20,5600,150,87.77
900,20,5600,160,85.7
900,20,5600,170,83.31
900,20,5600,180,80.59
900,20,5700,0,84.13
900,20,5700,10,86.35
