Time, Position, Speed, Acceleration, Torque, Drag, RPM, Power, Available Power, Charge, Voltage, Current, Motor Torque
0.13,0.063,0.999,7.869,558.230,0.232,160.669,2582.9,68143.444,50.000,113.572,22.7,153.51
0.13,0.064,1.007,7.869,558.230,0.236,161.934,2603.2,68138.894,50.000,113.565,22.9,153.51
0.13,0.065,1.015,7.869,558.230,0.240,163.199,2623.6,68134.343,50.000,113.557,23.1,153.51
0.13,0.066,1.023,7.869,558.230,0.243,164.464,2643.9,68129.791,50.000,113.550,23.3,153.51
0.13,0.067,1.031,7.869,558.230,0.247,165.729,2664.2,68125.239,50.000,113.542,23.5,153.51
0.13,0.068,1.039,7.869,558.230,0.251,166.994,2684.6,68120.686,50.000,113.534,23.6,153.51
0.13,0.069,1.047,7.869,558.230,0.255,168.259,2704.9,68116.133,50.000,113.527,23.8,153.51
0.14,0.070,1.055,7.869,558.230,0.259,169.524,2725.3,68111.579,50.000,113.519,24.0,153.51
0.14,0.071,1.062,7.869,558.230,0.262,170.789,2745.6,68107.024,50.000,113.512,24.2,153.51
0.14,0.072,1.070,7.869,558.230,0.266,172.054,2765.9,68102.469,50.000,113.504,24.4,153.51
0.14,0.073,1.078,7.869,558.230,0.270,173.320,2786.3,68097.913,50.000,113.497,24.5,153.51
0.14,0.074,1.086,7.869,558.230,0.274,174.585,2806.6,68093.357,50.000,113.489,24.7,153.51
0.14,0.075,1.094,7.869,558.230,0.278,175.850,2826.9,68088.800,50.000,113.481,24.9,153.51
0.14,0.077,1.102,7.869,558.230,0.282,177.115,2847.3,68084.242,50.000,113.474,25.1,153.51
0.14,0.078,1.110,7.869,558.230,0.286,178.380,2867.6,68079.684,50.000,113.466,25.3,153.51
0.14,0.079,1.117,7.869,558.230,0.290,179.645,2887.9,68075.125,50.000,113.459,25.5,153.51
0.14,0.080,1.125,7.869,558.230,0.294,180.910,2908.3,68070.566,49.999,113.451,25.6,153.51
0.15,0.081,1.133,7.869,558.230,0.299,182.175,2928.6,68066.005,49.999,113.443,25.8,153.51
0.15,0.082,1.141,7.869,558.230,0.303,183.440,2949.0,68061.445,49.999,113.436,26.0,153.51
0.15,0.083,1.149,7.869,558.230,0.307,184.705,2969.3,68056.883,49.999,113.428,26.2,153.51
0.15,0.084,1.157,7.869,558.230,0.311,185.970,2989.6,68052.322,49.999,113.421,26.4,153.51
0.15,0.086,1.165,7.869,558.230,0.315,187.235,3010.0,68047.759,49.999,113.413,26.5,153.51
0.15,0.087,1.173,7.869,558.230,0.320,188.500,3030.3,68043.196,49.999,113.405,26.7,153.51
0.15,0.088,1.180,7.869,558.230,0.324,189.765,3050.6,68038.632,49.999,113.398,26.9,153.51
0.15,0.089,1.188,7.869,558.230,0.328,191.030,3071.0,68034.068,49.999,113.390,27.1,153.51
0.15,0.090,1.196,7.869,558.230,0.333,192.295,3091.3,68029.503,49.999,113.383,27.3,153.51
0.15,0.092,1.204,7.869,558.230,0.337,193.560,3111.6,68024.937,49.999,113.375,27.4,153.51
0.16,0.093,1.212,7.869,558.230,0.341,194.825,3132.0,68020.371,49.999,113.367,27.6,153.51
0.16,0.094,1.220,7.869,558.230,0.346,196.090,3152.3,68015.804,49.999,113.360,27.8,153.51
0.16,0.095,1.228,7.869,558.230,0.350,197.355,3172.6,68011.237,49.999,113.352,28.0,153.51
0.16,0.096,1.235,7.869,558.230,0.355,198.620,3193.0,68006.669,49.999,113.344,28.2,153.51
0.16,0.098,1.243,7.869,558.230,0.359,199.884,3213.3,68002.100,49.999,113.337,28.4,153.51
0.16,0.099,1.251,7.869,558.230,0.364,201.149,3233.7,67997.531,49.999,113.329,28.5,153.51
0.16,0.100,1.259,7.869,558.230,0.369,202.414,3254.0,67992.961,49.999,113.322,28.7,153.51
0.16,0.101,1.267,7.869,558.230,0.373,203.679,3274.3,67988.391,49.999,113.314,28.9,153.51
0.16,0.103,1.275,7.869,558.230,0.378,204.944,3294.7,67983.820,49.999,113.306,29.1,153.51
0.16,0.104,1.283,7.869,558.230,0.382,206.209,3315.0,67979.248,49.999,113.299,29.3,153.51
0.17,0.105,1.291,7.869,558.230,0.387,207.474,3335.3,67974.676,49.999,113.291,29.4,153.51
0.17,0.106,1.298,7.868,558.230,0.392,208.739,3355.7,67970.103,49.999,113.284,29.6,153.51
0.17,0.108,1.306,7.868,558.230,0.397,210.004,3376.0,67965.529,49.999,113.276,29.8,153.51
0.17,0.109,1.314,7.868,558.230,0.401,211.269,3396.3,67960.955,49.999,113.268,30.0,153.51
0.17,0.110,1.322,7.868,558.230,0.406,212.534,3416.7,67956.380,49.999,113.261,30.2,153.51
0.17,0.112,1.330,7.868,558.230,0.411,213.799,3437.0,67951.805,49.999,113.253,30.3,153.51
0.17,0.113,1.338,7.868,558.230,0.416,215.064,3457.3,67947.229,49.999,113.245,30.5,153.51
0.17,0.114,1.346,7.868,558.230,0.421,216.329,3477.7,67942.652,49.999,113.238,30.7,153.51
0.17,0.116,1.354,7.868,558.230,0.426,217.594,3498.0,67938.075,49.999,113.230,30.9,153.51
0.17,0.117,1.361,7.868,558.230,0.431,218.859,3518.3,67933.497,49.999,113.222,31.1,153.51
0.18,0.118,1.369,7.868,558.230,0.436,220.124,3538.7,67928.919,49.999,113.215,31.3,153.51
0.18,0.120,1.377,7.868,558.230,0.441,221.389,3559.0,67924.340,49.999,113.207,31.4,153.51
0.18,0.121,1.385,7.868,558.230,0.446,222.654,3579.4,67919.760,49.999,113.200,31.6,153.51
0.18,0.123,1.393,7.868,558.230,0.451,223.919,3599.7,67915.180,49.999,113.192,31.8,153.51
0.18,0.124,1.401,7.868,558.230,0.456,225.184,3620.0,67910.599,49.999,113.184,32.0,153.51
0.18,0.125,1.409,7.868,558.230,0.461,226.448,3640.4,67906.017,49.999,113.177,32.2,153.51
0.18,0.127,1.416,7.868,558.230,0.466,227.713,3660.7,67901.435,49.999,113.169,32.3,153.51
0.18,0.128,1.424,7.868,558.230,0.472,228.978,3681.0,67896.852,49.999,113.161,32.5,153.51
0.18,0.130,1.432,7.868,558.230,0.477,230.243,3701.4,67892.269,49.999,113.154,32.7,153.51
0.18,0.131,1.440,7.868,558.230,0.482,231.508,3721.7,67887.685,49.999,113.146,32.9,153.51
0.19,0.132,1.448,7.868,558.230,0.487,232.773,3742.0,67883.100,49.999,113.139,33.1,153.51
0.19,0.134,1.456,7.868,558.230,0.493,234.038,3762.4,67878.515,49.999,113.131,33.3,153.51
0.19,0.135,1.464,7.868,558.230,0.498,235.303,3782.7,67873.929,49.999,113.123,33.4,153.51
0.19,0.137,1.472,7.868,558.230,0.503,236.568,3803.0,67869.343,49.999,113.116,33.6,153.51
0.19,0.138,1.479,7.868,558.230,0.509,237.833,3823.4,67864.756,49.999,113.108,33.8,153.51
0.19,0.140,1.487,7.868,558.230,0.514,239.098,3843.7,67860.168,49.999,113.100,34.0,153.51
0.19,0.141,1.495,7.868,558.230,0.520,240.363,3864.0,67855.580,49.999,113.093,34.2,153.51
0.19,0.143,1.503,7.868,558.230,0.525,241.627,3884.4,67850.991,49.999,113.085,34.3,153.51
0.19,0.144,1.511,7.868,558.230,0.531,242.892,3904.7,67846.401,49.999,113.077,34.5,153.51
0.19,0.146,1.519,7.868,558.230,0.536,244.157,3925.0,67841.811,49.999,113.070,34.7,153.51
0.20,0.147,1.527,7.868,558.230,0.542,245.422,3945.4,67837.220,49.999,113.062,34.9,153.51
0.20,0.149,1.534,7.868,558.230,0.547,246.687,3965.7,67832.629,49.999,113.054,35.1,153.51
0.20,0.150,1.542,7.868,558.230,0.553,247.952,3986.0,67828.037,49.999,113.047,35.3,153.51
0.20,0.152,1.550,7.868,558.230,0.559,249.217,4006.4,67823.444,49.999,113.039,35.4,153.51
0.20,0.153,1.558,7.868,558.230,0.564,250.482,4026.7,67818.851,49.999,113.031,35.6,153.51
0.20,0.155,1.566,7.868,558.230,0.570,251.746,4047.0,67814.257,49.999,113.024,35.8,153.51
0.20,0.157,1.574,7.868,558.230,0.576,253.011,4067.4,67809.662,49.999,113.016,36.0,153.51
0.20,0.158,1.582,7.868,558.230,0.582,254.276,4087.7,67805.067,49.999,113.008,36.2,153.51
0.20,0.160,1.590,7.868,558.230,0.587,255.541,4108.0,67800.472,49.999,113.001,36.4,153.51
0.20,0.161,1.597,7.868,558.230,0.593,256.806,4128.4,67795.875,49.999,112.993,36.5,153.51
0.21,0.163,1.605,7.868,558.230,0.599,258.071,4148.7,67791.278,49.999,112.985,36.7,153.51
